target_user,registered_gesture,category,sample_index,performer,performed_gesture,session,role,hand,imitation_target,gesture_score,user_score,gesture_pass,user_pass,accepted
P08,G5,random_impostor,316,P09,G1,20260815,impA,R,P01,0.7818909505389832,-0.4775702625982273,0,0,0
P08,G5,random_impostor,317,P09,G1,20260815,impA,R,P01,0.698586448073147,-0.6027744449735025,0,0,0
P08,G5,random_impostor,318,P09,G1,20260815,impA,R,P01,0.6236847731367512,-0.4497364196487813,0,0,0
P08,G5,random_impostor,319,P09,G1,20260815,impA,R,P01,0.65861647180199,-0.46154412087408375,0,0,0
P08,G5,random_impostor,320,P09,G1,20260817,impA,R,P01,0.8370550317520704,0.07122471148808973,0,0,0
P08,G5,random_impostor,321,P09,G1,20260817,impA,R,P01,0.6270542815458287,-0.33245146260522856,0,0,0
P08,G5,random_impostor,322,P09,G1,20260817,impA,R,P01,0.8461728368601402,0.23406019319261867,0,0,0
P08,G5,random_impostor,323,P09,G1,20260817,impA,R,P01,0.6393300609243175,-0.43545213247706227,0,0,0
P08,G5,random_impostor,324,P09,G1,20260818,impA,R,P01,0.7507395974994444,0.26063263304840384,0,0,0
P08,G5,random_impostor,325,P09,G1,20260818,impA,R,P01,0.7572582564261604,0.07745493759737666,0,0,0
P08,G5,random_impostor,326,P09,G1,20260818,impA,R,P01,0.7564734422021455,-0.028367598837555078,0,0,0
P08,G5,random_impostor,327,P09,G1,20260818,impA,R,P01,0.6744279486056224,0.05544188719465933,0,0,0
P08,G5,random_impostor,328,P09,G1,20260819,impA,R,P01,0.5238066819915482,0.05116606025342217,0,0,0
P08,G5,random_impostor,329,P09,G1,20260819,impA,R,P01,0.7995934554552309,0.28729883977827625,0,0,0
P08,G5,random_impostor,330,P09,G1,20260819,impA,R,P01,0.7435110411519602,-0.029353059617289623,0,0,0
P08,G5,random_impostor,331,P09,G1,20260819,impA,R,P01,0.6847347745290835,0.09410994962998126,0,0,0
P08,G5,random_impostor,332,P09,G1,20260820,impA,R,P01,0.7023037482841555,-0.2439698253843945,0,0,0
P08,G5,random_impostor,333,P09,G1,20260820,impA,R,P01,0.7327096999478327,0.05061744963412981,0,0,0
P08,G5,random_impostor,334,P09,G1,20260820,impA,R,P01,0.7979136618526957,-0.2585318981122795,0,0,0
P08,G5,random_impostor,335,P09,G1,20260820,impA,R,P01,0.7173136076016484,-0.1547502589416383,0,0,0
P08,G5,random_impostor,336,P09,G1,20260821,impA,R,P01,0.5650160894639193,-0.4057130070415307,0,0,0
P08,G5,random_impostor,337,P09,G1,20260821,impA,R,P01,0.5916785155336439,-0.3278090810572138,0,0,0
P08,G5,random_impostor,338,P09,G1,20260821,impA,R,P01,0.6199827866937345,-0.3202296778564736,0,0,0
P08,G5,random_impostor,339,P09,G1,20260821,impA,R,P01,0.66532971428009,-0.39610368556239933,0,0,0
P08,G5,random_impostor,340,P10,G1,20260815,impA,L,P01,0.8103976045603074,0.737560406746111,0,0,0
P08,G5,random_impostor,341,P10,G1,20260815,impA,L,P01,0.8628313169647357,0.18703023783300426,0,0,0
P08,G5,random_impostor,342,P10,G1,20260815,impA,L,P01,0.8195749321008918,0.5530691679036123,0,0,0
P08,G5,random_impostor,343,P10,G1,20260815,impA,L,P01,0.8648423117947805,0.8516023124455492,0,1,0
P08,G5,random_impostor,344,P10,G1,20260817,impA,L,P01,0.8454436741432183,0.139220884822749,0,0,0
P08,G5,random_impostor,345,P10,G1,20260817,impA,L,P01,0.8586823717813168,0.16138526909594836,0,0,0
P08,G5,random_impostor,346,P10,G1,20260817,impA,L,P01,0.821011100339388,0.13880929388329447,0,0,0
P08,G5,random_impostor,347,P10,G1,20260817,impA,L,P01,0.7730461518452432,0.3213338082012425,0,0,0
P08,G5,random_impostor,348,P10,G1,20260818,impA,L,P01,0.7894572748814153,0.49349767776990383,0,0,0
P08,G5,random_impostor,349,P10,G1,20260818,impA,L,P01,0.6385337896557505,-0.3873884051969376,0,0,0
P08,G5,random_impostor,350,P10,G1,20260818,impA,L,P01,0.8301764071293992,0.6483202181557602,0,0,0
P08,G5,random_impostor,351,P10,G1,20260818,impA,L,P01,0.7457984478498081,0.4421822282616416,0,0,0
P08,G5,random_impostor,352,P10,G1,20260819,impA,L,P01,0.7799896378844805,0.5071866812560343,0,0,0
P08,G5,random_impostor,353,P10,G1,20260819,impA,L,P01,0.6988152469470912,-0.37161195220410237,0,0,0
P08,G5,random_impostor,354,P10,G1,20260819,impA,L,P01,0.7552588624994458,-0.42497118217400204,0,0,0
P08,G5,random_impostor,355,P10,G1,20260819,impA,L,P01,0.7720550662657961,0.8840727319221682,0,1,0
P08,G5,random_impostor,356,P10,G1,20260820,impA,L,P01,0.7592151375892262,0.7531195044281676,0,0,0
P08,G5,random_impostor,357,P10,G1,20260820,impA,L,P01,0.8431340837460921,0.28312398180491816,0,0,0
P08,G5,random_impostor,358,P10,G1,20260820,impA,L,P01,0.7835695620218327,0.25977197572712984,0,0,0
P08,G5,random_impostor,359,P10,G1,20260820,impA,L,P01,0.7627510714989758,0.06103596684279103,0,0,0
P08,G5,random_impostor,360,P10,G1,20260821,impA,L,P01,0.8055625045413273,0.4646108976286544,0,0,0
P08,G5,random_impostor,361,P10,G1,20260821,impA,L,P01,0.7928990789913948,0.384928989090931,0,0,0
P08,G5,random_impostor,362,P10,G1,20260821,impA,L,P01,0.7870206152834917,0.8689992473800779,0,1,0
P08,G5,random_impostor,363,P10,G1,20260821,impA,L,P01,0.7947717863397796,0.24670655588859297,0,0,0
P08,G5,random_impostor,364,X02,G1,20260815,impA,R,P01,0.7791207900518238,-0.3917443588099625,0,0,0
P08,G5,random_impostor,365,X02,G1,20260815,impA,R,P01,0.7785333654768938,-0.3385325375813617,0,0,0
